manufacturer,name,focal length,max aperture (T),close focus,image circle,front diameter,weight,length,original mount,iris blades,notes / comments
Arri / Zeiss,,10 - 100mm,2.0,5',N16 only,87mm,2041g,152mm,,,
,,10 - 100mm,3.1,,N16 only,,,,,,
,,11 - 110mm,2.2,5',S16,87mm,2041g,152mm,PL / Bay,,
,,11.5 - 115mm,3.5,,S16,,,,PL / Bay,,
,,12 - 120mm,2.4,,S16,,,,PL / Bay,,
,,,,,,,,,,,
Angenieux,HR,7 - 81mm,2.4,2',S16,100mm,2267g,241mm,PL,,
,HEC,9.5 - 57mm,1.8,2',N16 only,67mm,1133g,146mm,,,
,,9.5 - 57mm,1.9,2',N16 only,67mm,1133g,146mm,,,
,,9.5 - 95mm,2.8,"2' 6""",N16 only,90mm,,200mm,,12,
,HR,10 - 120mm,2.0,,N16 only,,,,PL / Bay,,
,,10 - 150mm,2.3 - 3.2,5',N16 only,,,,Bay,,
,,11 - 66mm,2.6,,S16,,,,Bay,,
,,11 - 138mm,2.3,,,,,,,,
,HR,11.5 - 138mm,2.3,5',S16,114mm,3175g,197mm,PL,,
,HEC,12 - 120mm,2.1,"4' 10""",N16 only,80mm,950g,181mm,Bay,,
,,12 - 120mm,2.5,5',N16 only,,,,,,
,,12 - 240mm,3.5,5',,,,,,,
,,15 - 150mm,3.1,,S16,,,,Bay,,
,,15 - 300mm,5.0,5',S16,98.5mm,2495g,222mm,,,
,,16 - 44mm,1.3,,S16,,,,Bay,,
,,17.5 - 70mm,2.5,4',S16,,,,,,
,,,,,,,,,,,
Cooke,Varokinetal,9 - 50mm,2.5,"1' 6""",N16 only,83mm,1814g,171mm,,6,
,conversion,9.5 - 53mm,1.6,,S16,,,,PL,,
,,10.4 - 52mm,2.8,"1' 4""",S16,,,,Bay,,
,conversion,10.6 - 52mm,1.65,,S16,,,,PL,,
,conversion,10.8 - 60mm,3.0,"1' 6""",S16,,,,PL / Bay,,
,Varopanchro,10 - 30mm,1.6,"2' 4""",N16 only,121mm,2948g,203mm,Bay,,
,,,,,,,,,,,
Canon,SC9x7,7 - 63mm,2.6,2',S16,95mm,2267g,241mm,PL / Bay,,
,SC8x8,8 - 64mm,2.4,"1' 10""",S16,95mm,2267g,200mm,PL / Bay,,
,SC11x15,11 - 165mm,2.5,"3' 5""",S16,95mm,2268g,190mm,PL,,
,SC12x11.5,11.5 - 138mm,2.5,"3' 6""",,,,,PL / Bay,,
,SC10x6.6,6.6 - 66mm,2.7 - 3.3,"24""",S16,110mm,2131g,197mm,PL,,
,SC17x10.6,10.6 - 180mm,2.7,"3' 4""",S16,95mm,1633g,229mm,PL,,
,SC20x11,11 - 220mm,3.2,,,,,,,,
,,,,,,,,,,,
Optex,Canon / Optex,10.5 - 210mm,2.4,,S16,,,,PL / Bay / Aa,,
,,10.3 - 216mm,3.3,,,,,,,,
,,14.5 - 480mm,3.0,,S16,,,,PL / Bay / Aa,,
,,,,,,,,,,,
Century,,11.5 - 210mm,2.6 - 3.5,,S16,,,,PL / Bay / Aa,,
,,,,,,,,,,,
Fujinon,,10 - 40mm,4.0,,S16,,,,PL,,
