manufacturer,name,focal length,max aperture (T),close focus,image circle,front diameter,filter thread,weight,length,original mount,iris blades,notes / comments
Angenieux,Optimo Ultra 12x S35,24 - 290mm,2.8,4',31.1mm,162mm,,12600g,472mm,PL,9,base lens with interchangeable rear element
,Optimo Ultra 12x U35,26 - 320mm,3.1,"4' 1""",34.6mm,162mm,,12750g,481mm,PL,9,base lens with interchangeable rear element
,Optimo Ultra Compact Wide Angle,16 - 42mm,2.2,2',34.6mm,114mm,,2800g,247mm,PL,,base lens with interchangeable rear element
,Optimo Ultra Compact Standard,28 - 76mm,2.2,2',34.6mm,114mm,,2500g,235mm,PL,,base lens with interchangeable rear element
,Optimo,15 - 40mm,2.6,2',31 - 33mm,114mm,,1920g,186mm,PL,6,
,Optimo,28 - 76mm,2.6,2',31.4mm,114mm,,1950g,205mm,PL,6,
,Optimo,45 - 120mm,2.8,"3' 1""",31.4mm,114mm,,1950g,203mm,PL,,
,Optimo,19.5 - 94mm,2.6,2',31.4mm,136mm,,5600g,335mm,PL,6,
,Optimo,17 - 80mm,2.2,2',28 - 33mm,136mm,,5000g,326mm,PL,6,
,Optimo,24 - 290mm,2.8,4',31 - 40mm,162mm,,11000g,440mm,PL,6,
,Optimo,28 - 340mm,3.2,4',34 - 42mm,162mm,,11100g,460mm,PL,6,
,Optimo DP,16 - 42mm,2.8,2',33 - 33.5mm,114mm,,1900g,190mm,PL,6,non-mirror viewing system only
,Optimo DP,30 - 80mm,2.8,2',33 - 34mm,114mm,,1900g,186mm,PL,6,non-mirror viewing system only
,Optimo Style,25 - 250mm,3.5,4',28 - 34mm,136mm,,7300g,377.4mm,PL,,
,Optimo Style,30 - 76mm,2.8,2',31.4mm,114mm,,1920g,186mm,PL,,
,Optimo Style,16 - 40mm,2.8,2',31.4mm,114mm,,1920g,186mm,PL,,
,Optimo Style,48 - 130mm,3.0,"3' 1""",34.6mm,114mm,,1950g,206mm,PL,,
,EZ-1 S35,30 - 90mm,2.0,2',30.4mm,114mm,,2150g,226mm,"PL, EF, E, RF",9,
,EZ-2 S35,15 - 40mm,2.0,2',30.4mm,114mm,,2120g,210mm,"PL, EF, E, RF",9,
,EZ-3 S35,45 - 165mm,2.3 - 3.0,4',30.4mm,114mm,,2600g,265mm,"PL, EF, E, RF",9,
,HR,25 - 250mm,3.5,"5' 7""",28 - 34mm,136mm,,4763g,,,,front diameter 156mm with 138mm clamp-on
,HR,17 - 102mm,2.9,"2' 6""",26 - 32mm,144mm,,8618g,,,,
,HP,25 - 250mm,3.7,,,,,,,,,
,,25 - 250mm,3.9,6',,,,,,Arri Standard,,
,,20 - 120mm,2.9,"3' 4""",,,,,,Arri Standard,,
