manufacturer,name,focal length,max aperture (T),close focus,image circle,front diameter,filter thread,weight,length,original mount,iris blades,notes / comments
ALPA,Switar,24mm,3.5,,70mm,,,,,PL / LPL,15,
,,35mm,3.5,"1' 6""",70mm,,,1295g,,PL / LPL,15,
,,45mm,2.8,"1' 6""",70mm,,,1295g,,PL / LPL,15,
,,55mm,3.5,"1' 6""",70mm,,,1195g,,PL / LPL,15,
,,80mm,2.0,"2' 4""",70mm,,,1110g,,PL / LPL,15,
,macro,120mm,4.0,,70mm,,,,,PL / LPL,15,
,,140mm,2.8,"4' 6""",70mm,,,1260g,,PL / LPL,15,
,,210mm,4.0,"4' 6""",70mm,,,1925g,,PL / LPL,15,
,,,,,,,,,,,,
Arri / IB/E,Prime 65 S,35mm,2.5,"21.5""",,,,,,XPL / LPL,,
,,45mm,2.8,"18""",,,,,,XPL / LPL,,
,,55mm,2.8,"20""",,,,,,XPL / LPL,,
,,75mm,2.8,"24""",,,,,,XPL / LPL,,
,,90mm,2.8,"16""",,,,,,XPL / LPL,,
,,120mm,2.5,"22""",,,,,,XPL / LPL,,
,,150mm,2.8,"47""",,,,,,XPL / LPL,,
,,,,,,,,,,,,
Arri / Fujinon,Prime 65,24mm,4.8,"15""",62mm,114mm,,1500g,101mm,XPL / LPL,,
(Hasselblad),,28mm,4.0,"14""",62mm,114mm,,1500g,101mm,XPL / LPL,,
,,35mm,3.5,"20""",62mm,114mm,,1800g,120mm,XPL / LPL,,
,,50mm,3.5,"24""",62mm,114mm,,1800g,120mm,XPL / LPL,,
,,80mm,2.8,"28""",62mm,114mm,,1800g,120mm,XPL / LPL,,
,,100mm,2.2,"12""",62mm,114mm,,1800g,120mm,XPL / LPL,,
,,150mm,3.2,"4' 3""",62mm,114mm,,2200g,120mm,XPL / LPL,,
,,300mm,4.5,8',62mm,114mm,,2600g,200mm,XPL / LPL,,
,,,,,,,,,,,,
,Zoom 65,35 - 90mm,4.0,"24""",62mm,,,4000g,,XPL / LPL,,
,,50 - 110mm,3.5 - 4.5,"27""",62mm,,,4000g,,XPL / LPL,,
,,,,,,,,,,,,
Arri Rental,Prime DNA,28mm,2.8,"18""",,114mm,,1360g,81mm,XPL / LPL,,
,,35mm,2.3,"18""",,114mm,,1540g,89mm,XPL / LPL,,
,,35mm,2.8,"18""",,114mm,,,,XPL / LPL,,
,,45mm,2.3,"18""",,114mm,,1270g,89mm,XPL / LPL,,
,,45mm,2.8,"18""",,114mm,,1360g,89mm,XPL / LPL,,
,,50mm,2.0,"32""",,114mm,,1000g,89mm,XPL / LPL,,
,,55mm,2.8,"18""",,114mm,,1270g,89mm,XPL / LPL,,
,,60mm,2.0,"24""",,114mm,,1090g,89mm,XPL / LPL,,
,,65mm,1.6,"28""",,114mm,,1450g,89mm,XPL / LPL,,
,,70mm,2.8,"20""",,114mm,,1090g,89mm,XPL / LPL,,
,,80mm,1.9,"2' 4""",,114mm,,1270g,89mm,XPL / LPL,,
,,110mm,2.8,3',,114mm,,1360g,89mm,XPL / LPL,,
,,150mm,2.8,"4' 11""",,114mm,,1900g,132mm,XPL / LPL,,
,,200mm,2.8,"8' 2""",,114mm,,,,XPL / LPL,,
,,,,,,,,,,,,
Arri / Zeiss,765 system,30mm,3.6,"13""",,114mm,,,,Maxi-PL,,N.B. maxi-PL to XPL mechanical adapter option
(Hasselblad),,40mm,4.2,"20""",,114mm,,,,Maxi-PL,,
,,50mm,3.0,"20""",,114mm,,,,Maxi-PL,,
,,60mm,3.6,"24""",,114mm,,,,Maxi-PL,,
,,80mm,3.0,"36""",,114mm,,,,Maxi-PL,,
,,100mm,3.6,,,114mm,,,,Maxi-PL,,
,,110mm,2.1,"32""",,114mm,,,,Maxi-PL,,
,macro,120mm,4.2,,,114mm,,,,Maxi-PL,,
,,150mm,3.0,"56""",,114mm,,,,Maxi-PL,,
,,250mm,4.2,"8' 6""",,114mm,,,,Maxi-PL,,
,,350mm,4.2,"75""",,114mm,,,,Maxi-PL,,
,,,,,,,,,,,,
,Mutar 2x extender,,,,,,,,,Maxi-PL,,
,,,,,,,,,,,,
,Cooke,38 - 210mm,6.3,"24""",,,,,,Maxi-PL,,
,,,,,,,,,,,,
Cooke,Panchro 65/i,30mm,2.8,"16""",59.86mm,125mm,n/a,2200g,,LPL,9,
,,40mm,2.8,"18""",59.86mm,110mm,105mm,1900g,,LPL,9,
,,55mm,2.5,"20""",59.86mm,110mm,105mm,1700g,,LPL,9,
,,75mm,2.5,2',59.86mm,110mm,105mm,1700g,,LPL,9,
,,100mm,2.5,"2' 3""",59.86mm,110mm,105mm,1700g,,LPL,9,
,,152mm,2.9,"4' 3""",59.86mm,110mm,105mm,1800g,,LPL,9,
,,,,,,,,,,,,
Gecko Cam,Genesis G65,24mm,2.8,,65mm,95mm,,,,PL / LPL,14,
(0.7x speed converter,,32mm,2.3,,65mm,95mm,,,,PL / LPL,14,
available),,40mm,2.3,,65mm,95mm,,,,PL / LPL,14,
,,50mm,2.3,,65mm,95mm,,,,PL / LPL,14,
,,60mm,1.6,,65mm,95mm,,,,PL / LPL,14,
,,80mm,2.3,,65mm,95mm,,,,PL / LPL,14,
,,110mm,2.3,,65mm,95mm,,,,PL / LPL,14,
,,145mm,2.3,,65mm,95mm,,,,PL / LPL,14,
,,,,,,,,,,,,
