name,focal length,max aperture (T),close focus,image circle,front diameter,weight,length,original mount,iris blades,entrance pupil,magnification ratio
Master Prime,12mm,1.3,"15.8""",35mm,156mm,2900g,197mm,PL LDS,9,208.3mm,1:16.5
,14mm,1.3,"14""",34mm,114mm,2400g,172mm,PL LDS,9,189.3mm,1:11.7
,16mm,1.3,"14""",34mm,114mm,2200g,153mm,PL LDS,9,158.8mm,1:11.8
,18mm,1.3,"14""",33.5mm,114mm,2200g,153mm,PL LDS,9,154.9mm,1:11.0
,21mm,1.3,"14""",35mm,114mm,2400g,153mm,PL LDS,9,149.3mm,1:9.5
,25mm,1.3,"14""",35mm,114mm,2200g,153mm,PL LDS,9,135.9mm,1:8.6
,27mm,1.3,"14""",35mm,114mm,2200g,153mm,PL LDS,9,136.7mm,1:7.8
,32mm,1.3,"14""",36.5mm,114mm,2300g,153mm,PL LDS,9,128.4mm,1:7.1
,35mm,1.3,"14""",40mm,114mm,2200g,153mm,PL LDS,9,126.9mm,1:6.4
,40mm,1.3,"16""",39mm,114mm,2300g,153mm,PL LDS,9,119.6mm,1:7.0
,50mm,1.3,"20""",40mm,114mm,2700g,153mm,PL LDS,9,136.1mm,1:7.0
,65mm,1.3,"2' 3""",43mm,114mm,2600g,153mm,PL LDS,9,107.3mm,1:8.2
,75mm,1.3,"2' 9""",43mm,114mm,2800g,153mm,PL LDS,9,102.5mm,1:8.9
,100mm,1.3,"3' 6""",43mm,114mm,2900g,153mm,PL LDS,9,57.2mm,1:8.9
,135mm,1.3,"3' 3""",43mm,114mm,2800g,172mm,PL LDS,9,30.1mm,1:6.6
,150mm,1.3,"4' 11""",43mm,134mm,4000g,210mm,PL LDS,9,-89.0mm,1:10.3
,,,,,,,,,,,
Ultra Prime,8mm,2.8,1',32.5mm,134mm,2000g,130mm,PL,9,155.2mm,
,10mm,2.1,1',31mm,156mm,2900g,143mm,PL,9,120.2mm,
,12mm,2.0,1',31mm,156mm,1990g,140mm,PL,9,113.4mm,
,14mm,1.9,"9""",31.5mm,114mm,1800g,112mm,PL,9,91.3mm,
,16mm,1.9,"9""",33mm,95mm,1200g,94mm,PL,9,85.1mm,
,20mm,1.9,1',39mm,95mm,1200g,91mm,PL,9,73.3mm,
,24mm,1.9,1',38mm,95mm,1000g,91mm,PL,9,67.4mm,
,28mm,1.9,1',40mm,95mm,1000g,91mm,PL,9,67.3mm,
,32mm,1.9,"1' 3""",40mm,95mm,1100g,91mm,PL,9,61.1mm,
,40mm,1.9,"1' 6""",42mm,95mm,1000g,91mm,PL,9,59.2mm,
,50mm,1.9,2',40mm,95mm,1000g,91mm,PL,9,13.4mm,
,65mm,1.9,"2' 3""",43mm,95mm,1120g,91mm,PL,9,19.0mm,
,85mm,1.9,3',43mm,95mm,1200g,91mm,PL,9,3.5mm,
,100mm,1.9,3',43mm,95mm,1200g,91mm,PL,9,12.4mm,
,135mm,1.9,5',43mm,95mm,1600g,119mm,PL,10,-56.9mm,
,180mm,1.9,"8' 6""",43mm,114mm,2600g,166mm,PL,9,-19.7mm,
,,,,,,,,,,,
LDS Ultra Prime,12mm,2.0,1',,156mm,2200g,140mm,PL LDS,9,113.4mm,
,14mm,1.9,"9""",31.5mm,114mm,2041g,112mm,PL LDS,9,91.3mm,
,16mm,1.9,"9""",33mm,104mm,1814g,94mm,PL LDS,9,85.1mm,
,20mm,1.9,1',38mm,104mm,1588g,91mm,PL LDS,9,73.3mm,
,24mm,1.9,1',38mm,104mm,1588g,91mm,PL LDS,9,67.4mm,
,28mm,1.9,1',39.5mm,104mm,1588g,91mm,PL LDS,9,67.3mm,
,32mm,1.9,"1' 3""",43mm,104mm,1588g,91mm,PL LDS,9,61.1mm,
