Manufacturer,Camera / Sensor Name,Imaging Mode,Width (mm),Height (mm),Aspect Ratio,Diagonal (mm),Area (cm2),AOV multiplier
Film (camera aperture),N35 (Academy),,22.00,16.00,1.38,27.20,3.52,0.88
,N35 (1.85),,22.00,11.90,1.85,25.01,2.62,0.88
,N35 (Anamorphic),,22.00,18.60,1.18,28.81,4.09,0.88
,DIN Super 35 (silent aperture),,24.00,18.00,1.33,30.00,4.32,0.96
,ANSI Super 35 (silent aperture),,24.89,18.66,1.33,31.11,4.64,1.00
,ANSI Super 35 3-perf,,24.89,13.87,1.79,28.49,3.45,1.00
,ANSI Super 35 2-perf,,24.89,9.47,2.63,26.63,2.36,1.00
,IMAX,,70.41,52.63,1.34,87.91,37.06,2.83
,Modern Anamorphic,,22.00,18.60,1.18,28.81,4.09,0.88
,Standard 16mm,,10.26,7.49,1.37,12.70,0.77,0.41
,Standard 65mm film,,52.48,23.01,2.28,57.30,12.08,2.11
,Standard 8mm,,4.88,3.68,1.33,6.11,0.18,0.20
,Super 16mm,,12.52,7.42,1.69,14.55,0.93,0.50
,Super 8mm,,5.69,4.22,1.35,7.08,0.24,0.23
,VistaVision,,37.72,25.17,1.50,45.35,9.49,1.51
,,,,,,,,
Generic Video,"1/2"" video",,6.97,3.92,1.78,8.00,0.27,0.28
,"1/3"" video",,4.80,3.60,1.33,6.00,0.17,0.19
,"2/3"" 16:9",,9.59,5.39,1.78,11.00,0.52,0.39
,"2/3"" 4:3",,8.80,6.60,1.33,11.00,0.58,0.35
,,,,,,,,
Arri,Alexa 265,6.5K 2.12:1 Open Gate,54.12,25.58,2.12,59.86,13.84,2.17
,Alexa 265,5.1K 1.65:1,42.24,25.58,1.65,49.38,10.80,1.70
,Alexa 265,4.5K LF 3:2,36.70,25.54,1.44,44.71,9.37,1.47
,Alexa 65,Open Gate,54.12,25.58,2.12,59.86,13.84,2.17
,Alexa 65,1.78 Crop Mode,42.24,23.76,1.78,48.46,10.04,1.70
,Alexa 65,1.50 Crop Mode,35.64,23.76,1.50,42.83,8.47,1.43
,Alexa LF / Mini LF,Open Gate,36.70,25.54,1.44,44.71,9.37,1.47
,Alexa LF / Mini LF,4K UHD,31.68,17.82,1.78,36.35,5.65,1.27
,Alexa LF / Mini LF,2.39:1,36.70,15.31,2.40,39.77,5.62,1.47
,Alexa 35,4.6K 3:2 Open Gate,27.99,19.22,1.46,33.95,5.38,1.12
,Alexa 35,4.6K 16:9,27.99,15.75,1.78,32.12,4.41,1.12
,Alexa 35,4K 16:9,24.88,14.00,1.78,28.55,3.48,1.00
,Alexa 35,4K 2:1,24.88,12.44,2.00,27.82,3.10,1.00
,Alexa 35,3.3K 6:5,20.22,16.95,1.19,26.38,3.43,0.81
,Alexa 35,3K 1:1,18.66,18.66,1.00,26.39,3.48,0.75
,Alexa Mini,2K,23.66,13.30,1.78,27.14,3.15,0.95
,Alexa Mini,2K Anamorphic (2.39:1),21.12,17.70,1.19,27.56,3.74,0.85
,Alexa Mini,3.2K / UHD,26.40,14.85,1.78,30.29,3.92,1.06
,Alexa Mini,4:3 2.8K,23.76,17.82,1.33,29.70,4.23,0.95
,Alexa Mini,HD / ArriRaw 2.8K,23.76,13.37,1.78,27.26,3.18,0.95
,Alexa Mini,HD Anamorphic (1.78:1),15.84,17.82,0.89,23.84,2.82,0.64
,Alexa Mini,Open Gate 3.4K,28.25,18.17,1.55,33.59,5.13,1.13
,Alexa Mini,S16,13.20,7.43,1.78,15.14,0.98,0.53
,Alexa SXT,16:9 3.2K / ProRes 4K UHD,26.40,14.85,1.78,30.29,3.92,1.06
,Alexa SXT,16:9 ArriRaw 3.2K,26.14,14.70,1.78,29.99,3.84,1.05
,Alexa SXT,16:9 HD / 2K / ArriRaw 2.8K,23.76,13.37,1.78,27.26,3.18,0.95
,Alexa SXT,4:3,23.76,17.82,1.33,29.70,4.23,0.95
,Alexa SXT,6:5 ProRes 2K / 4K Anamorphic,21.12,17.70,1.19,27.56,3.74,0.85
,Alexa SXT,6:5 ArriRaw 2.6K,21.38,17.82,1.20,27.83,3.81,0.86
,Alexa SXT,Open Gate 3.4K,28.25,18.17,1.55,33.59,5.13,1.13
,Alexa SXT,Open Gate ProRes 4K Cine,28.17,18.13,1.55,33.50,5.11,1.13
,Alexa XT,16:9 2K,23.66,13.32,1.78,27.15,3.15,0.95
,Alexa XT,16:9 3.2K,26.14,14.70,1.78,29.99,3.84,1.05
,Alexa XT,16:9 HD / ArriRaw 2.8K,23.76,13.37,1.78,27.26,3.18,0.95
,Alexa XT,4:3 2K,23.66,17.75,1.33,29.58,4.20,0.95
,Alexa XT,4:3 Cropped,21.27,17.82,1.19,27.75,3.79,0.85
,Alexa XT,4:3 Full,23.76,17.82,1.33,29.70,4.23,0.95
,Alexa XT,Open Gate,28.17,18.13,1.55,33.50,5.11,1.13
,Amira,2K,23.66,13.30,1.78,27.14,3.15,0.95
,Amira,HD,23.76,13.37,1.78,27.26,3.18,0.95
,Amira,S16 HD,13.20,7.43,1.78,15.14,0.98,0.53
,,,,,,,,
Blackmagic Design,Cinema Camera,,15.81,8.88,1.78,18.13,1.40,0.63
,Cinema Camera 6K,,36.00,24.00,1.50,43.27,8.64,1.45
,Pocket / Micro Cinema Camera,,12.48,7.02,1.78,14.32,0.88,0.50
,Pocket Cinema Camera 4K,,18.96,10.00,1.90,21.44,1.90,0.76
,Pocket Cinema Camera 6K,,23.10,12.99,1.78,26.50,3.00,0.93
,URSA Broadcast G2,,23.10,12.99,1.78,26.50,3.00,0.93
,URSA Mini Pro 4.6K,,25.34,14.25,1.78,29.07,3.61,1.02
,URSA Mini Pro 12K,,27.03,14.25,1.90,30.56,3.85,1.09
,URSA Cine 12K LF,,35.64,23.32,1.53,42.59,8.31,1.43
,URSA Cine 17K 65,,50.81,23.32,2.18,55.90,11.85,2.04
,PYXIS 6K,,36.00,24.00,1.50,43.27,8.64,1.45
,,,,,,,,
