Manufacturer,name,focal length,max aperture (T),close focus,image circle,front diameter,filter thread,weight,length,original mount,iris blades,notes
Arri Rental,ALFA,32mm,2.5,"2' 3""",,114mm,,2500g,,LPL,,
,,40mm,2.5,"2' 6""",,114mm,,2500g,,LPL,,
,,47mm,2.5,"2' 5""",,114mm,,2600g,,LPL,,
,,60mm,2.5,"2' 6""",,114mm,,2700g,,LPL,,
,,72mm,2.5,3',,114mm,,2700g,,LPL,,
,,90mm,2.5,3',,114mm,,2700g,,LPL,,
,,108mm,2.5,"3' 2""",,114mm,,3300g,,LPL,,
,,145mm,2.5,"3' 11""",,114mm,,3500g,,LPL,,
,,190mm,3.0,5',,114mm,,3300g,,LPL,,
,,,,,,,,,,,,
Atlas,Mercury,24mm,,,,,,,,,,
,(1.5x squeeze),27mm,,,,,,,,,,
,,36mm,2.2,"1' 6""",44.7mm,95mm,,1200g,126mm,PL,,
,,42mm,2.2,2',44.7mm,95mm,,1100g,112mm,PL,,
,,54mm,2.2,"2' 6""",44.7mm,95mm,,1300g,128mm,PL,,
,,72mm,2.2,3',44.7mm,95mm,,1600g,162mm,PL,,
,,95mm,2.2,3',44.7mm,95mm,,2000g,176mm,PL,,
,,138mm,2.8,4',44.7mm,95mm,,2100g,205mm,PL,,
,,,,,,,,,,,,
Blazar,Remus,33mm,1.8,"1' 7""",43.3mm,80mm,77mm,880g,101mm,PL / EF,16,
,(1.5x squeeze),45mm,2.0,"2' 3""",43.3mm,80mm,77mm,720g,90mm,PL / EF,16,
,,50mm,2.0,"2' 5""",43.3mm,80mm,77mm,716g,90mm,PL / EF,16,
,,65mm,2.0,"2' 3""",43.3mm,80mm,77mm,782g,101mm,PL / EF,16,
,,85mm,2.8,"2' 3""",43.3mm,80mm,77mm,811g,104mm,PL / EF,16,
,,100mm,2.8,"2' 4""",43.3mm,80mm,77mm,788g,110mm,PL / EF,16,
,,125mm,4.0,"2' 6""",43.3mm,80mm,77mm,820g,114mm,PL / EF,16,
,,,,,,,,,,,,
,Great Joy,35mm,2.9,"2' 3""",40mm,85mm,82mm,1190g,127mm,PL / EF,11,
,(1.8x squeeze),50mm,2.9,"2' 3""",40.8mm,85mm,82mm,1040g,124mm,PL / EF,11,blue and amber flare variants
,,85mm,2.9,"2' 3""",55mm,85mm,82mm,1180g,132mm,PL / EF,11,blue and amber flare variants
,,,,,,,,,,,,
,Cato,40mm,2.0,"1' 10""",37.5mm,95mm,86mm,1020g,150mm,PL / EF,16,
,(2x squeeze),55mm,2.0,"2' 7""",37.5mm,85mm,82mm,898g,124mm,PL / EF,16,
,,85mm,2.8,"2' 6""",43.3mm,85mm,82mm,927g,139mm,PL / EF,16,
,,125mm,4.0,"2' 7""",43.3mm,85mm,82mm,940g,155mm,PL / EF,16,
,,,,,,,,,,,,
Caldwell,Chameleon XC,48mm,3.0,,>50mm,114mm,,,163mm,PL,,
,(1.79X squeeze),60mm,3.0,,>50mm,114mm,,,163mm,PL,,
,,75mm,3.0,,>50mm,114mm,,,163mm,PL,,
,,90mm,3.0,,>50mm,114mm,,,163mm,PL,,
,,112mm,3.0,,>50mm,114mm,,,163mm,PL,,
,,150mm,4.0,,>50mm,114mm,,,163mm,PL,,
,,225mm,6.0,,>50mm,114mm,,,163mm,PL,,
,,,,,,,,,,,,
Cooke,1.8x Anamorphic/i FF,32mm,2.3,,43.27mm,,,,,PL,,
,,40mm,2.3,"2' 11""",43.27mm,136mm,,4400g,212mm,PL,,
,,50mm,2.3,"2' 9""",43.27mm,110mm,,4000g,204mm,PL,,
,,75mm,2.3,"3' 3""",43.27mm,110mm,,3500g,206mm,PL,,
,,85mm,2.8,,43.27mm,,,,,,,
,,100mm,2.3,"3' 10""",43.27mm,110mm,,3800g,228mm,PL,,
,,135mm,2.3,"4' 10""",43.27mm,110mm,,5000g,271mm,PL,,
,,180mm,2.3,"6' 8""",43.27mm,110mm,,,,PL,,
,,,,,,,,,,,,
Glaswerk,Glaswerk One,25mm,2.4,,39.93mm,,,,,PL,,
,(2x squeeze),32mm,2.4,,39.93mm,114mm,,4200g,250mm,PL,,
,(also available in One+,40mm,2.4,,39.93mm,114mm,,3800g,230mm,PL,,
,blue flare versions),50mm,2.4,"20""",39.93mm,114mm,,3800g,230mm,PL,,
,,60mm,2.4,"21""",39.93mm,114mm,,3700g,230mm,PL,,
,,75mm,2.4,"22""",39.93mm,114mm,,3700g,230mm,PL,,
,,100mm,2.4,"20""",39.93mm,114mm,,4000g,230mm,PL,,
,,135mm,2.4,,39.93mm,114mm,,4200g,250mm,PL,,
,,180mm,,,39.93mm,,,,,PL,,
,,,,,,,,,,,,
Laowa,Nanomorph LF,32mm,2.9,"1' 7""",44.71mm,80mm,77mm,1070g,121mm,PL / EF / RF / E / Z / DL / L,13,
,(1.5x squeeze),42mm,2.9,"1' 8""",44.71mm,80mm,77mm,1030g,121mm,PL / EF / RF / E / Z / DL / L,13,
,,55mm,2.9,"1' 10""",44.71mm,80mm,77mm,907g,114mm,PL / EF / RF / E / Z / DL / L,13,
,,85mm,2.9,"3' 3""",44.71mm,80mm,77mm,922g,113mm,PL / EF / RF / E / Z / DL / L,13,
,,,,,,,,,,,,
