Mount,Flange Focal Depth (FFD),Inside Diameter of Mount,Notes
ARRI LPL,44 mm,62 mm,
ARRI Maxi PL (765),73.5 mm,64 mm,
ARRI PL,52 mm,54 mm,
ARRI XPL (Alexa 65),60 mm,72 mm,replaced by LPL
Canon EF,44 mm,54 mm,
Canon EOS M-Mount,18mm,47 mm,
Canon R Mount,20 mm,54 mm,
Éclair CA-1 bayonet,48 mm,46 mm,
Fujifilm GX Medium Format,26.7 mm,~65 mm,
Fujifilm X-series,17.7 mm,43.5 mm,
Hasselblad 500/2000,74.9 mm,69.00,
Hasselblad H,61.63 mm,~67 mm,
Hasselblad XCD,18.3 mm,~61 mm,
Leica M,27.8,44 mm,
Leica R,47 mm,49 mm,
Leica S,53 mm,~66 mm,
"Leica, Sigma, Panasonic L-Mount",20 mm,51.6 mm,
MFT (Micro Four Thirds),19.25 mm,~38 mm,
Mitchell BNCR,61.468 mm,68 mm,
Nikon F,46.5 mm,44 mm,
Nikon Z mount,16 mm,55 mm,
Panavision PV,57.15 mm,49.50 mm,
Panavision SP 70 (Primo 70),40 mm,~66 mm,
Sony E-mount,18mm,46.1 mm,
Sony FZ mount (on F55/F5),19 mm,~84 mm,
