manufacturer,name,focal length,max aperture (T),close focus,image circle,front diameter,filter thread,weight,length,original mount,iris blades,notes / comments
Duclos,Entaniya HAL 220,220 degree,,,,,,,,,,
,Entaniya HAL 250,250 degree,,,,,,,,,,
,,,,,,,,,,,,
Gecko Cam,Vintage Ultra Prime,14mm,1.9,,,,,,,PL / LPL,,
,(recoated Zeiss Ultra),16mm,1.9,,,,,,,PL / LPL,,
,,20mm,1.9,,,,,,,PL / LPL,,
,,24mm,1.9,,,,,,,PL / LPL,,
,,28mm,1.9,,,,,,,PL / LPL,,
,,32mm,1.9,,,,,,,PL / LPL,,
,,40mm,1.9,,,,,,,PL / LPL,,
,,50mm,1.9,,,,,,,PL / LPL,,
,,65mm,1.9,,,,,,,PL / LPL,,
,,85mm,1.9,,,,,,,PL / LPL,,
,,100mm,1.9,,,,,,,PL / LPL,,
,,135mm,1.9,,,,,,,PL / LPL,,
,,180mm,1.9,,,,,,,PL / LPL,,
,,,,,,,,,,,,
Leica,Summilux-C,16mm,1.4,"1' 2""",,95mm,92mm,1700g,142mm,PL,,
,,18mm,1.4,"1' 2""",,95mm,92mm,1670g,142mm,PL,,
,,21mm,1.4,1',,95mm,92mm,1580g,142mm,PL,,
,,25mm,1.4,1',,95mm,92mm,1800g,142mm,PL,,
,,29mm,1.4,"1' 6""",,95mm,92mm,1700g,142mm,PL,,
,,35mm,1.4,"1' 2""",,95mm,92mm,1625g,142mm,PL,,
,,40mm,1.4,"1' 4""",,95mm,92mm,1615g,142mm,PL,,
,,50mm,1.4,"1' 8""",,95mm,92mm,1800g,142mm,PL,,
,,65mm,1.4,"1' 5""",,95mm,92mm,1700g,142mm,PL,,
,,75mm,1.4,"2' 3""",,95mm,92mm,1640g,142mm,PL,,
,,100mm,1.4,"2' 11""",,95mm,92mm,1600g,142mm,PL,,
,,135mm,1.4,"4' 1""",,116mm,92mm,3400g,193mm,PL,,
,,,,,,,,,,,,
,Summicron-C,15mm,2.0,1',,95mm,,1800g,118mm,PL,,
,,18mm,2.0,1',,95mm,,1330g,101mm,PL,,
,,21mm,2.0,1',,95mm,,1300g,101mm,PL,,
,,25mm,2.0,1',,95mm,,1550g,101mm,PL,,
,,29mm,2.0,1',,95mm,,1300g,101mm,PL,,
,,35mm,2.0,"1' 2""",,95mm,,1340g,101mm,PL,,
,,40mm,2.0,"1' 6""",,95mm,,1300g,101mm,PL,,
,,50mm,2.0,2',,95mm,,1470g,101mm,PL,,
,,75mm,2.0,"2' 7""",,95mm,,1250g,101mm,PL,,
,,100mm,2.0,"3' 3""",,95mm,,1240g,101mm,PL,,
,,135mm,2.0,5',,95mm,,1800g,118mm,PL,,
,,,,,,,,,,,,
Meike,,18mm,2.1,,33.6mm,,,,,,,
,,25mm,2.1,,33.6mm,,,,,,,
,,35mm,2.1,"19""",33.6mm,80mm,77mm,910g,99mm,PL / EF,11,
,,50mm,2.1,2',33.6mm,80mm,77mm,910g,99mm,PL / EF,11,
,,75mm,2.1,,33.6mm,,,,,,,
,,105mm,2.1,,33.6mm,,,,,,,
,,,,,,,,,,,,
Optar,Illumina Super 35,14mm,1.6,"8""",33.5mm,95mm,,1560g,110mm,PL,,
