Manufacturer,name,focal length,max aperture (T),close focus,image circle,front diameter,filter thread,weight,length,original mount,iris blades,notes,magnification ratio,entrance pupil
Angenieux,Optimo,18mm,2.0,"1' 2""",46.31mm,95mm,,1900g,160mm,PL,"3, 9, oval","interchangeable iris units, internal optics and rear filters",,
,,21mm,1.8,"1' 2""",46.31mm,95mm,,1900g,140mm,PL,"3, 9, oval",,,
,,24mm,1.8,"1' 2""",46.31mm,95mm,,1700g,128mm,PL,"3, 9, oval",,,
,,28mm,1.8,"1' 2""",46.31mm,95mm,,1700g,128mm,PL,"3, 9, oval",,,
,,32mm,1.8,"1' 2""",46.31mm,95mm,,1700g,128mm,PL,"3, 9, oval",,,
,,40mm,1.8,"1' 2""",46.31mm,95mm,,1700g,128mm,PL,"3, 9, oval",,,
,,50mm,1.8,"1' 4""",46.31mm,95mm,,1700g,128mm,PL,"3, 9, oval",,,
,,60mm,1.8,"1' 8""",46.31mm,95mm,,1700g,128mm,PL,"3, 9, oval",,,
,,75mm,1.8,2',46.31mm,95mm,,1700g,128mm,PL,"3, 9, oval",,,
,,100mm,1.8,"2' 4""",46.31mm,95mm,,1800g,128mm,PL,"3, 9, oval",,,
,,135mm,1.8,"3' 3""",46.31mm,95mm,,2000g,140mm,PL,"3, 9, oval",,,
,,200mm,2.2,4',46.31mm,114mm,,2300g,190mm,PL,"3, 9, oval",,,
,,,,,,,,,,,,,,
Arri,Signature Primes,12mm,1.8,"14""",45mm,,,,,LPL,,,,
,,15mm,1.8,"14""",45mm,,,,,LPL,,,,
,,18mm,1.8,"14""",45mm,114mm,,2000g,178mm,LPL,,,,
,,21mm,1.8,"14""",45mm,114mm,,2100g,178mm,LPL,,,,
,,25mm,1.8,"14""",45mm,114mm,,1900g,178mm,LPL,,,,
,,29mm,1.8,"14""",45mm,114mm,,1900g,178mm,LPL,,,,
,,35mm,1.8,"14""",45mm,114mm,,1700g,178mm,LPL,,,,
,,40mm,1.8,"14""",45mm,114mm,,1900g,178mm,LPL,,,,
,,47mm,1.8,"18""",45mm,114mm,,1800g,178mm,LPL,,,,
,,58mm,1.8,"18""",45mm,114mm,,2100g,178mm,LPL,,,,
,,75mm,1.8,"2' 2""",45mm,114mm,,1900g,178mm,LPL,,,,
,,95mm,1.8,"3' 1""",45mm,114mm,,2400g,178mm,LPL,,,,
,,125mm,1.8,"3' 4""",45mm,114mm,,2300g,178mm,LPL,,,,
,,150mm,1.8,6',45mm,114mm,,3500g,208mm,LPL,,,,
,,200mm,2.5,6',45mm,114mm,,3600g,216mm,LPL,,,,
,,280mm,2.8,"8' 2""",45mm,134mm,,5500g,,LPL,,,,
,,,,,,,,,,,,,,
,Ensō,10.5mm,2.8,"10.5""",,134mm,,2300g,141mm,LPL,,,1:10,160.3mm
,,14mm,2.5,"10.5""",,134mm,,2000g,141mm,LPL,,,1:8,151.9mm
,,18mm,2.1,"8""",,95mm,,1400g,117mm,LPL,,,1:4,134.3mm
,,21mm,2.1,"8.5""",,95mm,,1400g,117mm,LPL,,,1:4,131.6mm
,,24mm,2.1,"9""",,95mm,,1400g,117mm,LPL,,,1:4,131.8mm
,,28mm,2.1,"9""",,95mm,,1500g,117mm,LPL,,,1:4,118.8mm
,,32mm,2.1,"10""",,95mm,,1400g,117mm,LPL,,,1:4,119.5mm
,,40mm,2.1,"11""",,95mm,,1300g,117mm,LPL,,,1:4,117.2mm
,,47mm,2.1,"12.5""",,95mm,,1300g,117mm,LPL,,,1:4,124.5mm
,,58mm,2.1,"14""",,95mm,,1500g,117mm,LPL,,,1:4,115.6mm
,,75mm,2.1,"17""",,95mm,,1500g,123mm,LPL,,,1:4,119.9mm
,,105mm,2.1,"23.5""",,95mm,,1600g,123mm,LPL,,,1:4,122.7mm
,,150mm,2.1,"30.5""",,95mm,,1900g,152mm,LPL,,,1:4,131.5mm
,,250mm,2.1,"4' 2""",,114mm,,2900g,207mm,LPL,,,1:4,128.3mm
,,,,,,,,,,,,,,
Arri Rental,LF DNA,21mm,2.0,"8""",,114mm,,,90mm,LPL,10,,,
,,25mm,1.5,"10""",,114mm,,,82mm,LPL,10,,,
,,29mm,2.0,"12""",,114mm,,,82mm,LPL,10,,,
,,35mm,2.0,"12""",,114mm,,,86mm,LPL,10,,,
,,50mm,1.5,"20""",,114mm,,,87mm,LPL,10,,,
,,75mm,1.5,"2' 2""",,114mm,,,87mm,LPL,10,,,
,,85mm,1.5,"2' 4""",,114mm,,,107mm,LPL,10,,,
,,100mm,2.0,"2' 8""",,114mm,,,107mm,LPL,10,,,
,,135mm,,,,114mm,,,,LPL,10,,,
,,,,,,,,,,,,,,
,Moviecam,16mm,2.0,,,,,,,,,,,
,,20mm,2.0,,,,,,,,,,,
,,24mm,2.0,,,,,,,,,,,
,,28mm,2.0,,,,,,,,,,,
,,35mm,2.0,,,,,,,,,,,
,,40mm,2.0,,,,,,,,,,,
,,50mm,2.0,,,,,,,,,,,
,,60mm,1.5,,,,,,,,,,,
,,85mm,2.0,,,,,,,,,,,
,,100mm,2.8,,,,,,,,,,,
,,135mm,2.8,,,,,,,,,,,
,,,,,,,,,,,,,,
Bokkeh,Bokkelux,25mm,2.0,"8""",46.1mm,110mm,105mm,1450g,130mm,PL / EF,12,,,
,,35mm,2.0,"12""",46.1mm,110mm,105mm,1420g,130mm,PL / EF,12,,,
,,50mm,2.0,"17""",46.1mm,110mm,105mm,1420g,130mm,PL / EF,12,,,
,,75mm,2.0,"27""",46.1mm,110mm,105mm,1320g,130mm,PL / EF,12,,,
,,100mm,2.0,"22""",46.1mm,110mm,105mm,1400g,130mm,PL / EF,12,,,
,,,,,,,,,,,,,,
Canon,Cinema Primes,14mm,3.1,"8""",43.3mm,114mm,105mm,1200g,94mm,EF,11,,,
,,20mm,1.5,"12""",43.3mm,114mm,105mm,1200g,101.5mm,EF,11,,,
,,24mm,1.5,"12""",43.3mm,114mm,105mm,1200g,101.5mm,EF,11,,,
,,35mm,1.5,"12""",43.3mm,114mm,105mm,1100g,101.5mm,EF,11,,,
,,50mm,1.3,"18""",43.3mm,114mm,105mm,1100g,101.5mm,EF,11,,,
,,85mm,1.3,"3' 2""",43.3mm,114mm,105mm,1300g,101.5mm,EF,11,,,
,,135mm,2.2,"3' 3""",43.3mm,114mm,105mm,1400g,115.6mm,EF,11,,,
,,,,,,,,,,,,,,
,Sumire Primes,14mm,3.1,"8""",43.3mm,114mm,105mm,1200g,94mm,PL,11,,,
,,20mm,1.5,"12""",43.3mm,114mm,105mm,1200g,101.5mm,PL,11,,,
,,24mm,1.5,"12""",43.3mm,114mm,105mm,1200g,101.5mm,PL,11,,,
,,35mm,1.5,"12""",43.3mm,114mm,105mm,1100g,101.5mm,PL,11,,,
,,50mm,1.3,"18""",43.3mm,114mm,105mm,1100g,101.5mm,PL,11,,,
,,85mm,1.3,"3' 2""",43.3mm,114mm,105mm,1300g,101.5mm,PL,11,,,
,,135mm,2.2,"3' 3""",43.3mm,114mm,105mm,1400g,115.6mm,PL,11,,,
,,,,,,,,,,,,,,
Celere,HS Primes,18.5mm,1.5,"9""",>43mm,95mm,M86x1,1285g,126mm,PL / EF / E,8,,,
,,25mm,1.5,"9.8""",>43mm,85mm,77mm,1050g,118mm,PL / EF / E,8,,,
,,36mm,1.5,"13""",>43mm,85mm,77mm,1050g,118mm,PL / EF / E,8,,,
,,50mm,1.5,"18.9""",>43mm,85mm,77mm,1050g,118mm,PL / EF / E,8,,,
,,85mm,1.5,"3' 3""",>43mm,85mm,77mm,1050g,118mm,PL / EF / E,8,,,
,,,,,,,,,,,,,,
Cinescope,Leica R,19mm,2.9,"9""",43.3mm,110mm,,1000g,68.75mm,PL,,,,
(TLS housings),,21mm,4.2,"8""",43.3mm,110mm,,1000g,68.75mm,PL,,,,
,,24mm,2.9,"10""",43.3mm,110mm,,1000g,68.75mm,PL,,,,
,,28mm,2.9,"9""",43.3mm,110mm,,900g,68.75mm,PL,,,,
,,35mm,2.1,"11""",43.3mm,110mm,,1080g,68.75mm,PL,,,,
,,35mm,1.5,"20""",43.3mm,110mm,,1400g,83mm,PL,,,,
,,50mm,1.5,"17""",43.3mm,110mm,,1000g,68mm,PL,,,,
,,50mm,2.1,"17""",43.3mm,110mm,,900g,68.75mm,PL,,,,
,,60mm,2.9,"11""",43.3mm,110mm,,1440g,121mm,PL,,,,
,,80mm,1.5,"22""",43.3mm,110mm,,1500g,93mm,PL,,,,
,,90mm,2.1,"20""",43.3mm,110mm,,1440g,123mm,PL,,,,
,,100mm,2.9,"17""",43.3mm,110mm,,1920g,154mm,PL,,,,
,,135mm,2.9,"3' 4""",43.3mm,110mm,,1570g,123mm,PL,,,,
,,180mm,2.9,"4' 4""",43.3mm,110mm,,1620g,123mm,PL,,,,
,,,,,,,,,,,,,,
Cooke,S8/i FF,18mm,1.4,2',,136mm,n/a,3400g,200mm,PL/i / LPL/i,9,,,
,,21mm,1.4,2',,125mm,n/a,3500g,195mm,PL/i / LPL/i,9,,,
,,25mm,1.4,"1' 10""",,104mm,M99 x 0.75,2400g,162mm,PL/i / LPL/i,9,,,
,,27mm,1.4,2',,104mm,M99 x 0.75,2600g,162mm,PL/i / LPL/i,9,,,
,,32mm,1.4,"2' 3""",,104mm,M99 x 0.75,2400g,157mm,PL/i / LPL/i,9,,,
,,35mm,1.4,2' 3',,104mm,M99 x 0.75,2400g,157mm,PL/i / LPL/i,9,,,
,,40mm,1.4,"2' 3""",,104mm,M99 x 0.75,2300g,157mm,PL/i / LPL/i,9,,,
,,50mm,1.4,"2' 3""",,104mm,M99 x 0.75,2500g,157mm,PL/i / LPL/i,9,,,
,,65mm,1.4,"2' 6""",,104mm,M99 x 0.75,2600g,157mm,PL/i / LPL/i,9,,,
,,75mm,1.4,"2' 9""",,104mm,M99 x 0.75,2400g,157mm,PL/i / LPL/i,9,,,
,,100mm,1.4,"2' 9""",,104mm,M99 x 0.75,2600g,157mm,PL/i / LPL/i,9,,,
,,135mm,1.4,4',,104mm,M99 x 0.75,3200g,200mm,PL/i / LPL/i,9,,,
,,,,,,,,,,,,,,
,S7/i,16mm,,"16""",46.31mm,136mm,,4000g,197mm,PL/i,9,,,
,,18mm,2.0,"16""",46.31mm,110mm,,3500g,200mm,PL/i,9,,,
,,21mm,2.0,"14""",46.31mm,110mm,,3300g,189mm,PL/i,9,,,
,,25mm,2.0,"14""",46.31mm,110mm,,3300g,189mm,PL/i,9,,,
,,27mm,2.0,"14""",46.31mm,110mm,,3300g,189mm,PL/i,9,,,
,,32mm,2.0,"14""",46.31mm,110mm,,3400g,177mm,PL/i,9,,,
,,40mm,2.0,"18""",46.31mm,110mm,,3500g,189mm,PL/i,9,,,
,,50mm,2.0,"20""",46.31mm,110mm,,3400g,189mm,PL/i,9,,,
,,65mm,2.0,"19""",46.31mm,110mm,,3000g,189mm,PL/i,9,,,
,,75mm,2.0,"19""",46.31mm,110mm,,3000g,189mm,PL/i,9,,,
,,100mm,2.0,"30""",46.31mm,110mm,,3300g,189mm,PL/i,9,,,
,,135mm,2.0,"39""",46.31mm,110mm,,3700g,189mm,PL/i,9,,,
,,180mm,2.0,"51""",46.31mm,110mm,,3600g,1998mm,PL/i,9,,,
,,,,,,,,,,,,,,
,S7/i Macro,60mm,2.5,"8.5""",46.31mm,87mm,,2200g,160mm,PL/i,9,,,
,,90mm,2.5,"11.5""",46.31mm,87mm,,2500g,172mm,PL/i,9,,,
,,150mm,2.5,"16""",46.31mm,87mm,,3000g,233mm,PL/i,9,,,
,,,,,,,,,,,,,,
,Panchro/i Classic FF,18mm,2.2,"10""",,110mm,,2250g,125mm,PL/i / LPL/i,9,,,
,,21mm,2.2,"11""",,110mm,,1959g,127mm,PL/i / LPL/i,9,,,
,,25mm,2.2,"13""",,110mm,,2061g,125mm,PL/i / LPL/i,9,,,
,,27mm,2.2,"13""",,110mm,,2131g,125mm,PL/i / LPL/i,9,,,
,,32mm,2.2,"13""",,110mm,,1955g,110mm,PL/i / LPL/i,9,,,
,,40mm,2.2,"13""",,110mm,,1530g,92mm,PL/i / LPL/i,9,,,
,,50mm,2.2,,,110mm,,,,PL/i / LPL/i,9,,,
,,65mm,2.4,"13""",,110mm,,2800g,197mm,PL/i / LPL/i,9,,,
,,75mm,2.2,"30""",,110mm,,1800g,155mm,PL/i / LPL/i,9,,,
,,100mm,2.6,"36""",,110mm,,1800g,155mm,PL/i / LPL/i,9,,,
,,135mm,2.8,"2' 9""",,110mm,,2100g,167mm,PL/i / LPL/i,9,,,
,,152mm,3.0,"3' 6""",,110mm,,2100g,167mm,PL/i / LPL/i,9,,,
,,,,,,,,,,,,,,
DZOFilm,Arles,25mm,1.4,"1' 2""",46.5mm,95mm,86mm,1490g,120mm,PL / EF,16,also available as Lustre series with different coatings and T1.6,,
,,35mm,1.4,"1' 2""",46.5mm,95mm,86mm,1650g,120mm,PL / EF,16,,,
,,50mm,1.4,"1' 4""",46.5mm,95mm,86mm,1688g,120mm,PL / EF,16,,,
,,75mm,1.4,"2' 6""",46.5mm,95mm,86mm,1662g,120mm,PL / EF,16,,,
,,100mm,1.4,"2' 11""",46.5mm,95mm,86mm,1830g,120mm,PL / EF,16,,,
,,,,,,,,,,,,,,
,Vespid,16mm,2.8,"10""",46.5mm,80mm,,,,PL / EF,16,,,
,,21mm,2.1,"12""",46.5mm,80mm,77mm,950g,100mm,PL / EF,16,,,
,,25mm,2.1,"12""",46.5mm,80mm,77mm,940g,100mm,PL / EF,16,,,
,,35mm,2.1,"12""",46.5mm,80mm,77mm,834g,87mm,PL / EF,16,,,
,,40mm,2.1,"12""",46.5mm,80mm,77mm,834g,87mm,PL / EF,16,,,
,,50mm,2.1,"15""",46.5mm,80mm,77mm,732g,87mm,PL / EF,16,,,
,,75mm,2.1,"24""",46.5mm,80mm,77mm,865g,87mm,PL / EF,16,,,
,,90mm,2.8,"10""",46.5mm,80mm,77mm,800g,112mm,PL / EF,16,,,
,,100mm,2.1,"2' 4""",46.5mm,80mm,77mm,890g,100mm,PL / EF,16,,,
,,125mm,2.1,"2' 7""",46.5mm,80mm,77mm,924g,100mm,PL / EF,16,,,
,,,,,,,,,,,,,,
