name,focal length,max aperture (T),close focus,image circle,front diameter,weight,length,original mount,iris blades,entrance pupil (h),entrance pupil (v),notes
T Series,28mm,2.3,"24""",,112.8mm,2700g,140mm,PV,,,,
,35mm,2.3,"24""",,112.8mm,2900g,155mm,PV,,,,
,40mm,2.3,"18""",,112.8mm,2700g,155mm,PV,,,,
,50mm,2.3,"24""",,112.8mm,2700g,169mm,PV,,,,
,60mm,2.3,"18""",,112.8mm,2200g,158mm,PV,,,,
,75mm,2.3,"24""",,112.8mm,2000g,178mm,PV,,,,
,100mm,2.3,"24""",,112.8mm,2100g,195mm,PV,,,,
,135mm,2.3,"33""",,112.8mm,3200g,255mm,PV,,,,
,150mm,3.1,"42""",,112.8mm,3500g,269mm,PV,,,,
,180mm,2.8,"42""",,112.8mm,3500g,283mm,PV,,,,
,,,,,,,,,,,,
T Series Zoom,37 - 85mm,2.8,"33""",,124x112mm,6300g,326mm,PV,,,,
,42 - 425mm,4.5,"48""",,126.5mm,8300g,416mm,PV,,,,rear anamorphic
,,,,,,,,,,,,
G Series,25mm,2.6,"30""",,126mm,2100g,137mm,PV,,,,
,30mm,2.6,"30""",,126mm,2100g,137mm,PV,,,,
,35mm,2.6,"36""",,112mm,2000g,152mm,PV,,,,
,40mm,2.6,"36""",,112mm,1900g,132mm,PV,,,,
,50mm,2.6,"36""",,112mm,2000g,155mm,PV,,,,
,60mm,2.6,"36""",,112mm,1800g,157mm,PV,,,,
,75mm,2.6,"36""",,112mm,1700g,160mm,PV,,,,
,100mm,2.6,"36""",,112mm,2000g,198mm,PV,,,,
,,,,,,,,,,,,
Front Anamorphic Zoom,40 - 80mm,2.8,"39""",,112mm,,,PV,,,,
,70 - 200mm,3.5,"66""",,112mm,,,PV,,,,
,,,,,,,,,,,,
Primo,35mm,2.0,"40""",,145mm,6174g,282mm,PV,,604mm,690mm,
,40mm,2.0,"40""",,145mm,6628g,285mm,PV,,588.9mm,676.9mm,
,50mm,2.0,"40""",,145mm,6924g,320mm,PV,,586mm,681.3mm,
