manufacturer,name,focal length,equivalent FL,angle of view,max aperture (T),close focus,image circle,front diameter,weight,length,original mount,notes
Panavision,Frazier Lens System,14mm,9.9mm,,7.1,,S35,,,,,
,,15mm,10.5mm,,7.1,,S35,,,,,
,,17mm,12mm,,7.1,,S35,79.8mm,700g,91.3mm,,
,,20mm,14mm,,7.1,,S35,66.3mm,700g,79mm,,
,,24mm,17mm,,7.1,,S35,77mm,1100g,120mm,,
,,28mm,20mm,,7.1,,S35,54mm,800g,94.9mm,,
,,35mm,25mm,,7.1,,S35,54mm,700g,98.4mm,,
,,45mm,32mm,,7.1,,S35,81mm,1100g,123mm,,
,,50mm,35mm,,7.1,,S35,54mm,600g,76.2mm,,
,,85mm,60mm,,7.1,,S35,75mm,1100g,100.8mm,,
,,105mm,75mm,,7.1,,S35,60.3mm,1000g,142.1mm,,
,,135mm,95mm,,7.1,,S35,54mm,900g,119.9mm,,
,,relay unit,,,,,,,,,PV,
,,,,,,,,,,,,
Laowa,Probe lens,24mm,,,14,"18""",FF35 / VV,,2200g,406mm,PL / EF / E / F,integrated ring light
,Pro2be,24mm,,,8.0,4mm,43.2mm,,1068g,500mm,PL,
,,,,,,,,,,,,
,Probe Zoom,15 - 24mm,,,,,,,,,,
,,probe module,,,8.0,5mm,FF,32mm,1400g,545mm,PL,
,,periscope module,,,8.0,5mm,FF,32mm,1400g,540mm,PL,
,,35 degree module,,,8.0,5mm,FF,32mm,1400g,539mm,PL,
,,90 degree module,,,8.0,5mm,FF,32mm,1400g,545mm,PL,
,,,,,,,,,,,,
,,15 - 35mm,,,,,,,,,,
,,probe module,,,12.0,5mm,FF,32mm,1400g,545mm,PL,
,,periscope module,,,12.0,5mm,FF,32mm,1400g,540mm,PL,
,,35 degree module,,,12.0,5mm,FF,32mm,1400g,539mm,PL,
,,90 degree module,,,12.0,5mm,FF,32mm,1400g,545mm,PL,
,,,,,,,,,,,,
Cine Magic,Revolution Lens System,9.8mm,,,7.5,,,,,,,
,,12mm,,,7.5,,,,,,,
,,16mm,,,7.5,,,,,,,
,,20mm,,,7.5,,,,,,,
,,24mm,,,7.5,,,,,,,
,,32mm,,,7.5,,,,,,,
,,40mm,,,7.5,,,,,,,
,,60mm,,,7.5,,,,,,,
,,,,,,,,,,,,
,,PL Swivel,,,,,,,,,PL,
,,Mini-PL Swivel,,,,,,,,,PL,
,,PL Horizon Tracker,,,,,,,,,PL,
,,Mini-PL Hor Tracker,,,,,,,,,PL,
,,PL Borescope,,,,,,,,,PL,
,,Mini-PL Borescope,,,,,,,,,PL,
,,PL Snorkel,,,,,,,,,PL,
,,PL 90° Snorkel,,,,,,,,,PL,
,,,,,,,,,,,,
,Cinewand,12mm,,,3.8,,,,,,,
,,16mm,,,3.8,,,,,,,
,,20mm,,,3.8,,,,,,,
,,24mm,,,3.8,,,,,,,
,,35mm,,,3.8,,,,,,,
,,40mm,,,3.8,,,,,,,
,,60mm,,,3.8,,,,,,,
,,,,,,,,,,,,
,,relay unit,,,,,,,,457mm,PL,
,,,,,,,,,,,,
DZOFilm,X-Tract Probe Zoom,18 - 28mm,,,8.0,6mm,43.2mm,29.6mm,1089g,415mm,PL,
,,,,,,,,,,,,
Optex,Excellence,5mm,3.5mm,120°,2.8,,S16,46mm,,114mm,,
,,7mm,5mm,100°,2.8,,S16,46mm,,114mm,,
,,10mm,7.5mm,78°,2.8,,S16,46mm,,114mm,,
,,14mm,10.5mm,60°,2.8,,S16,46mm,,114mm,,
,,20mm,15.5mm,43°,2.8,,S16,46mm,,114mm,,
,,,,,,,,,,,,
,,10mm,7mm,120°,5.6,,S35,46mm,,114mm,,
,,14mm,10mm,100°,5.6,,S35,46mm,,114mm,,
,,20mm,15mm,78°,5.6,,S35,46mm,,114mm,,
,,28mm,21mm,60°,5.6,,S35,46mm,,114mm,,
,,40mm,31mm,43°,5.6,,S35,46mm,,114mm,,
,,,,,,,,,,,,
,,Motion Picture Relay,,,,,,,,416mm,PL,
,,Probe Module,,,,,,,,278mm,custom,
,,Probe Extension,,,,,,,,302mm,custom,
,,90° Module,,,,,,,,109mm,custom,
,,,,,,,,,,,,
,Borescope,10mm,,,6.3,,,,,,,
,,14mm,,,6.3,,,,,,,
,,24mm,,,6.3,,,,,,,
,,35mm,,,6.3,,,,,,,
,,,,,,,,,,,,
,,Probe Module,,,,,,,,,PL,
,,Probe Extension,,,,,,,,,custom,
,,,,,,,,,,,,
Century,S2000 Periscope,,,,4.0,,,,,,various,set taking lens to T2.8
,,,,,,,,,,,,
P&S Technik,T-Rex Superscope,5.5 - 20mm fish eye,,,,,,,,,T-Rex,
,,8 - 18mm,,,,,,,,,T-Rex,
,,17 - 36mm,,,,,,,,,T-Rex,
,,35 - 75mm,,,,,,,,,T-Rex,
,,60 - 125mm,,,,,,,,,T-Rex,
,,20 - 44mm ball joint,,,,,,,,,T-Rex,
,,,,,,,,,,,,
,,Bore Scope,,,5.6,,S35,,,,various,
,,Super Scope,,,7.1,,S35,,,,various,
,,Standard Module,,,,,,,,,various,
,,Zoom Module,,,,,,,,,various,
,,,,,,,,,,,,
,Skater Scope,,,,5.6,,S35,,3000g,336mm,PL / PV / Nikon,
,,,,,,,,,,,,
Hyperion,Microshot MKII,10mm,,,2.2,1mm,,,,,mini-PL,
,,15mm,,,1.95,1mm,,,,,mini-PL,
,,24mm,,,1.95,1mm,,,,,mini-PL,
,,35mm,,,1.95,1mm,,,,,mini-PL,
,,50mm,,,1.95,45mm,,,,,mini-PL,
,,75mm,,,1.95,45mm,,,,,mini-PL,
,,,,,,,,,,,,
,,Borescope Module,,,,,S35,,,,PL,
,,180° attachment,,,,,,,,,,
,,45° attachment,,,,,,,,,,
,,,,,,,,,,,,
IB/E,Raptor Scope,,,,5.6,,44mm,,,296mm,PL to PL / LPL,
,,,,,,,,,,,,Has S35 mode with f/4 aperture
Innovision,Probe II+,Direct Module,,,6.3,,S35,,2300g,560mm,,
,,45° Module,,,6.3,,S35,,,500mm,,
,,90° Module,,,6.3,,S35,,2200g,430mm,,
,,,,,,,,,,,,
,Probe II,35mm Module,,,5.6,,S35,,910g,400mm,,
,,16mm Module,,,2.8,,S16,,910g,450mm,,
