manufacturer,name,focal length,max aperture (T),close focus,image circle,front diameter,filter thread,weight,length,original mount,iris blades,notes / comments
Bausch & Lomb,Super Speed Baltar,55mm,1.1,,,,,,,,,
,,85mm,1.7,,,,,,,,,
,,,,,,,,,,,,
,Super Baltar,20mm,2.3,"18""",32mm,94mm,,,,,,
,,25mm,2.3,"18""",33mm,98mm,,,,,,
,,35mm,2.3,"18""",39mm,98mm,,,,,,
,,50mm,2.3,"18""",38mm,66mm,,,,,,
,,75mm,2.3,"22""",41mm,78mm,,,,,,
,,100mm,2.3,"48""",42mm,73mm,,,,,,
,,152mm,3.0,"72""",,73mm,,,,,,
,,229mm,4.4,,,,,,,,,
,,,,,,,,,,,,
Kinoptik,Tégéa,9.8mm,2.3,,26mm,,,,,,,
,Grand angle,18mm,2.2,,28mm,,,,,,,
,Apochromat,28mm,2.6,,30mm,,,,,,,
,,35mm,2.4,,30mm,,,,,,,
,,40mm,2.4,,30mm,,,,,,,
,,50mm,2.5,,31mm,,,,,,,
,,75mm,2.5,,32mm,,,,,,,
,,100mm,2.4,,42mm,,,,,,,
,,150mm,2.9,,42mm,,,,,,,
,Spécial ciné,210mm,3.0,,40mm,,,,,,,
,,300mm,4.0,,40mm,,,,,,,
,Aplanat,500mm,5.7,,43mm,,,,,,,
,Kinoptar,1000mm,9.0,,43mm,,,,,,,
,,,,,,,,,,,,
Kowa,Cine Prominar,15mm,4.0,"12""",,87mm,,,,,,
,,20mm,2.6,"12""",,82mm,,,,,,
,,32mm,2.3,"18""",,90mm,,,,,,
,,40mm,2.3,"25""",,75mm,,,,,,
,,50mm,2.3,"26""",,70mm,,,,,,
,,75mm,2.3,"39""",,70mm,,,,,,
,,100mm,2.6,"45""",,70mm,,,,,,
,,,,,,,,,,,,
Lomo,Standard Speeds,8.5mm,4.0,,,185mm,,750g,83mm,,,
,,9.5mm,5.7,,,124mm,,1100g,111mm,,,
,,10mm,3.0,,,96mm,,500g,71.5mm,,,
,,12mm,2.9,,,86mm,,400g,95mm,,,
,,14mm,2.7,,,97mm,,600g,72mm,,,
,,16mm,3.4,,,75mm,,350g,66mm,,,
,,18mm,2.2,,,97mm,,680g,86mm,,,
,,22mm,2.2,,,97mm,,660g,76mm,,,
,,28mm,2.2,,,97mm,,670g,85mm,,,
,,35mm,2.2,,,97mm,,820g,94mm,,,
,,50mm,2.2,,,97mm,,850g,99mm,,,
,,75mm,2.2,,,97mm,,850g,98mm,,,
,,100mm,2.2,,,97mm,,1300g,131mm,,,
,,150mm,2.6,,,96mm,,1380g,141mm,,,
,,200mm,3.2,,,106mm,,1300g,124mm,,,
,,250mm,2.9,,,135mm,,3100g,230mm,,,
,,300mm,4.3,,,121mm,,2030g,147mm,,,
,,500mm,5.9,,,144mm,,4600g,460mm,,,
,,750mm,9.9,,,142mm,,4800g,490mm,,,
,,1000mm,6.6,,,206mm,,8170g,468mm,,,
,,,,,,,,,,,,
,Standard Speeds SOFT,50mm,2.3,,,52mm,,100g,34mm,,,
,,75mm,2.2,,,68mm,,190g,52mm,,,
,,100mm,2.1,,,82mm,,370g,59mm,,,
,,,,,,,,,,,,
,Super Speeds,14mm,1.7,,,104mm,,910g,88mm,,,
,,18mm,1.6,,,85.6mm,,720g,94mm,,,
,,22mm,1.6,,,97mm,,650g,100mm,,,
,,28mm,1.4,,,85mm,,600g,120mm,,,
,,35mm,1.3,,,85mm,,770g,91.5mm,,,
,,50mm,1.3,,,58mm,,300g,59mm,,,
,,75mm,1.6,,,65mm,,370g,72mm,,,
,,,,,,,,,,,,
Schneider,Cinegon,20mm,2.2,,,,,,,AStd,,
,Cine-Xenon,28mm,2.2,,,,,,,AStd,,
,,35mm,2.2,,,,,,,AStd,,
,,40mm,2.2,,,,,,,AStd,,
,,50mm,2.2,,,,,,,AStd,,
,,75mm,2.2,,,,,,,AStd,,
,,100mm,2.2,,,,,,,AStd,,
,,125mm,2.2,,,,,,,AStd,,
,Cine-Xenotar,150mm,f/2.8,,,,,,,AStd,,
,Cine-Tele-Xenar,150mm,f/4.5,,,,,,,AStd,,
,,200mm,f/5.5,,,,,,,AStd,,
,,360mm,f/5.5,,,,,,,AStd,,
,,,,,,,,,,,,
Canon,K35 mkIII,18mm,1.5,1',,,,,,,15,
,,25mm,1.3,,43.3mm,,,,,,15,
,,35mm,1.3,1',43.3mm,,,,,,15,
,,50mm,1.3,"1' 6""",43.3mm,,,,,,15,
,,85mm,1.3,3',43.3mm,,,,,,15,
,,,,,,,,,,,,
,K35 mkII,18mm,2.8,,43.3mm,,,,,,15,
,,24mm,1.5,1',43.3mm,,,,,,15,
,,55mm,1.4,"1' 6""",43.3mm,,,,,,15,
