name,focal length,max aperture (T),close focus,image circle,front diameter,filter thread,weight,length,original mount,iris blades,entrance pupil,magnification ratio
Supreme Prime,15mm,1.8,"14""",46.2mm,114mm,,2250g,149mm,PL / LPL / EF,,,
,18mm,1.5,"14""",46.2mm,114mm,,2270g,163mm,PL / LPL / EF,,,
,21mm,1.5,"13.7""",46.2mm,95mm,,1500g,119mm,PL / LPL / EF,,,
,25mm,1.5,"10""",46.2mm,95mm,,1420g,119mm,PL / LPL / EF,,,
,29mm,1.5,"13""",46.2mm,95mm,,1610g,121mm,PL / LPL / EF,,,
,35mm,1.5,"13""",46.2mm,95mm,,1400g,119mm,PL / LPL / EF,,,
,40mm,1.5,"16""",46.2mm,95mm,,1490g,121mm,PL / LPL / EF,,,
,50mm,1.5,"18""",46.2mm,95mm,,1220g,119mm,PL / LPL / EF,,,
,65mm,1.5,2',46.2mm,95mm,,1630g,121mm,PL / LPL / EF,,,
,85mm,1.5,"2' 9""",46.2mm,95mm,,1420g,119mm,PL / LPL / EF,,,
,100mm,1.5,"3' 9""",46.2mm,95mm,,1580g,119mm,PL / LPL / EF,,,
,135mm,1.5,"4' 5""",46.2mm,114mm,,2100g,146mm,PL / LPL / EF,,,
,150mm,1.8,"4' 11""",46.2mm,114mm,,2100g,146mm,PL / LPL / EF,,,
,200mm,2.1,"6' 7""",46.2mm,114mm,,2870g,183mm,PL / LPL / EF,,,
,,,,,,,,,,,,
Supreme Prime Radiance,18mm,1.5,"14""",46.2mm,114mm,,2270g,163mm,PL / LPL / EF,,,
,21mm,1.5,"13.7""",46.2mm,95mm,,1500g,119mm,PL / LPL / EF,,,
,25mm,1.5,"10""",46.2mm,95mm,,1420g,119mm,PL / LPL / EF,,,
,29mm,1.5,"13""",46.2mm,95mm,,1610g,121mm,PL / LPL / EF,,,
,35mm,1.5,"13""",46.2mm,95mm,,1400g,119mm,PL / LPL / EF,,,
,40mm,1.5,"16""",46.2mm,95mm,,1490g,121mm,PL / LPL / EF,,,
,50mm,1.5,"18""",46.2mm,95mm,,1220g,119mm,PL / LPL / EF,,,
,65mm,1.5,2',46.2mm,95mm,,1630g,121mm,PL / LPL / EF,,,
,85mm,1.5,"2' 9""",46.2mm,95mm,,1420g,119mm,PL / LPL / EF,,,
,100mm,1.5,"3' 9""",46.2mm,95mm,,1580g,119mm,PL / LPL / EF,,,
,135mm,1.5,"4' 5""",46.2mm,114mm,,2100g,146mm,PL / LPL / EF,,,
,,,,,,,,,,,,
Compact Prime (CP.3),15mm,2.9,"12""",>43.3mm,95mm,,870g,83.7mm,PL / EF / F / MFT / E,,,
,18mm,2.9,"12""",>43.3mm,95mm,,860g,83.7mm,PL / EF / F / MFT / E,,,
,21mm,2.9,"10""",>43.3mm,95mm,,820g,83.7mm,PL / EF / F / MFT / E,,,
,25mm,2.1,"10""",>43.3mm,95mm,,820g,83.7mm,PL / EF / F / MFT / E,,,
,28mm,2.1,"10""",>43.3mm,95mm,,840g,83.7mm,PL / EF / F / MFT / E,,,
